r[m],sigma_0.05,sigma_0.1,sigma_0.15,sigma_0.2,sigma_0.25
0.42199999999999993,0.4039719999999999,0.5993000000000006,0.5993000000000006,0.5993000000000006,0.5993000000000006
0.42099999999999993,0.4042529999999999,0.6063250000000004,0.6063250000000004,0.6063250000000004,0.6063250000000004
0.41999999999999993,0.40453333333333324,0.6133333333333338,0.6133333333333338,0.6133333333333338,0.6133333333333338
0.41899999999999993,0.4048129999999999,0.6203250000000006,0.6203250000000006,0.6203250000000006,0.6203250000000006
0.4179999999999999,0.4050919999999999,0.6273000000000006,0.6273000000000006,0.6273000000000006,0.6273000000000006
0.4169999999999999,0.4053703333333332,0.6342583333333339,0.6342583333333339,0.6342583333333339,0.6342583333333339
0.4159999999999999,0.40564799999999995,0.6412000000000007,0.6412000000000007,0.6412000000000007,0.6412000000000007
0.4149999999999999,0.4059249999999999,0.6481250000000006,0.6481250000000006,0.6481250000000006,0.6481250000000006
0.4139999999999999,0.4062013333333332,0.6550333333333339,0.6550333333333339,0.6550333333333339,0.6550333333333339
0.4129999999999999,0.4064769999999999,0.6619250000000005,0.6619250000000005,0.6619250000000005,0.6619250000000005
0.4119999999999999,0.4067519999999999,0.6688000000000007,0.6688000000000007,0.6688000000000007,0.6688000000000007
0.4109999999999999,0.40702633333333327,0.6756583333333339,0.6756583333333339,0.6756583333333339,0.6756583333333339
0.4099999999999999,0.40729999999999994,0.6825000000000006,0.6825000000000006,0.6825000000000006,0.6825000000000006
0.4089999999999999,0.4075729999999999,0.6893250000000006,0.6893250000000006,0.6893250000000006,0.6893250000000006
0.4079999999999999,0.4078453333333332,0.6961333333333338,0.6961333333333338,0.6961333333333338,0.6961333333333338
0.4069999999999999,0.4081169999999999,0.7029250000000006,0.7029250000000006,0.7029250000000006,0.7029250000000006
0.4059999999999999,0.40838799999999986,0.7097000000000007,0.7097000000000007,0.7097000000000007,0.7097000000000007
0.4049999999999999,0.40865833333333323,0.7164583333333341,0.7164583333333341,0.7164583333333341,0.7164583333333341
0.4039999999999999,0.4089279999999999,0.7232000000000005,0.7232000000000005,0.7232000000000005,0.7232000000000005
0.4029999999999999,0.4091969999999999,0.7299250000000005,0.7299250000000005,0.7299250000000005,0.7299250000000005
0.4019999999999999,0.40946533333333324,0.7366333333333339,0.7366333333333339,0.7366333333333339,0.7366333333333339
0.4009999999999999,0.4097329999999999,0.7433250000000008,0.7433250000000008,0.7433250000000008,0.7433250000000008
0.3999999999999999,0.4099999999999999,0.7499999999999998,0.7500000000000007,0.7500000000000007,0.7500000000000007
0.3989999999999999,0.41026633333333323,0.750266333333333,0.756658333333334,0.756658333333334,0.756658333333334
0.3979999999999999,0.4105319999999999,0.7505319999999998,0.7633000000000006,0.7633000000000006,0.7633000000000006
0.3969999999999999,0.4107969999999999,0.7507969999999998,0.7699250000000007,0.7699250000000007,0.7699250000000007
0.3959999999999999,0.4110613333333333,0.7510613333333331,0.776533333333334,0.776533333333334,0.776533333333334
0.3949999999999999,0.4113249999999999,0.7513249999999998,0.7831250000000007,0.7831250000000007,0.7831250000000007
0.3939999999999999,0.4115879999999999,0.7515879999999998,0.7897000000000006,0.7897000000000006,0.7897000000000006
0.3929999999999999,0.4118503333333332,0.7518503333333332,0.7962583333333341,0.7962583333333341,0.7962583333333341
0.3919999999999999,0.41211199999999987,0.7521119999999999,0.8028000000000008,0.8028000000000008,0.8028000000000008
0.3909999999999999,0.4123729999999999,0.7523729999999998,0.8093250000000006,0.8093250000000006,0.8093250000000006
0.3899999999999999,0.41263333333333324,0.7526333333333332,0.815833333333334,0.815833333333334,0.815833333333334
0.3889999999999999,0.4128929999999999,0.7528929999999998,0.8223250000000006,0.8223250000000006,0.8223250000000006
0.3879999999999999,0.4131519999999999,0.7531519999999998,0.8288000000000006,0.8288000000000006,0.8288000000000006
0.3869999999999999,0.4134103333333332,0.7534103333333332,0.835258333333334,0.835258333333334,0.835258333333334
0.3859999999999999,0.41366799999999987,0.7536679999999998,0.8417000000000006,0.8417000000000006,0.8417000000000006
0.3849999999999999,0.41392499999999993,0.7539249999999997,0.8481250000000008,0.8481250000000008,0.8481250000000008
0.3839999999999999,0.4141813333333333,0.7541813333333331,0.854533333333334,0.854533333333334,0.854533333333334
0.3829999999999999,0.4144369999999999,0.7544369999999998,0.8609250000000006,0.8609250000000006,0.8609250000000006
