r[m],sigma_0.05,sigma_0.1,sigma_0.15,sigma_0.2,sigma_0.25
0.2879999999999998,0.3960824083333332,0.7501605333333331,1.0625824083333333,1.3333480333333334,1.392133333333334
0.2869999999999998,0.39608360624999983,0.7501617312499997,1.06258360625,1.33334923125,1.396925000000001
0.2859999999999998,0.39608479999999985,0.7501629249999998,1.0625848,1.333350425,1.401700000000001
0.2849999999999998,0.3960859895833332,0.7501641145833331,1.0625859895833334,1.3333516145833333,1.4064583333333345
0.2839999999999998,0.3960871749999999,0.7501652999999997,1.062587175,1.3333528000000001,1.411200000000001
0.2829999999999998,0.3960883562499999,0.7501664812499997,1.06258835625,1.33335398125,1.4159250000000008
0.2819999999999998,0.3960895333333332,0.750167658333333,1.0625895333333333,1.3333551583333334,1.4206333333333345
0.2809999999999998,0.39609070624999987,0.7501688312499997,1.06259070625,1.3333563312499999,1.425325000000001
0.2799999999999998,0.39609187499999987,0.7501699999999997,1.062591875,1.3333575,1.430000000000001
0.2789999999999998,0.39609303958333325,0.7501711645833331,1.0625930395833334,1.3333586645833333,1.4346583333333345
0.2779999999999998,0.39609419999999984,0.7501723249999998,1.0625942,1.3333598249999998,1.439300000000001
0.2769999999999998,0.39609535624999986,0.7501734812499998,1.06259535625,1.33336098125,1.443925000000001
0.2759999999999998,0.3960965083333332,0.7501746333333331,1.0625965083333333,1.3333621333333334,1.4485333333333341
0.2749999999999998,0.39609765624999993,0.7501757812499998,1.06259765625,1.33336328125,1.453125000000001
0.2739999999999998,0.39609879999999986,0.7501769249999998,1.0625988,1.3333644249999999,1.457700000000001
0.2729999999999998,0.3960999395833332,0.750178064583333,1.0625999395833334,1.3333655645833333,1.4622583333333343
0.2719999999999998,0.39610107499999986,0.7501791999999997,1.062601075,1.3333667,1.466800000000001
0.2709999999999998,0.3961022062499999,0.7501803312499998,1.06260220625,1.3333678312500001,1.4713250000000009
0.2699999999999998,0.39610333333333325,0.7501814583333332,1.0626033333333333,1.3333689583333335,1.4758333333333342
0.2689999999999998,0.3961044562499999,0.7501825812499998,1.0626044562499999,1.33337008125,1.480325000000001
0.2679999999999998,0.3961055749999999,0.7501836999999997,1.062605575,1.3333712,1.484800000000001
0.2669999999999998,0.3961066895833332,0.7501848145833331,1.0626066895833333,1.3333723145833334,1.4892583333333345
0.2659999999999998,0.3961077999999999,0.7501859249999998,1.0626077999999999,1.333373425,1.4937000000000011
0.2649999999999998,0.39610890624999984,0.7501870312499997,1.06260890625,1.33337453125,1.4981250000000013
0.2639999999999998,0.3961100083333332,0.7501881333333331,1.0626100083333332,1.3333756333333333,1.5025333333333346
0.2629999999999998,0.3961111062499999,0.7501892312499997,1.06261110625,1.33337673125,1.5069250000000012
0.2619999999999998,0.3961121999999999,0.7501903249999998,1.0626122,1.333377825,1.5113000000000012
0.2609999999999998,0.3961132895833332,0.750191414583333,1.0626132895833333,1.3333789145833332,1.5156583333333344
0.2599999999999998,0.39611437499999985,0.7501924999999997,1.0626143749999999,1.3333799999999998,1.5200000000000011
0.2589999999999998,0.3961154562499999,0.7501935812499998,1.0626154562499999,1.33338108125,1.524325000000001
0.2579999999999998,0.3961165333333332,0.7501946583333331,1.0626165333333333,1.3333821583333332,1.5286333333333342
0.2569999999999998,0.39611760624999987,0.7501957312499997,1.06261760625,1.33338323125,1.532925000000001
0.2559999999999998,0.39611867499999986,0.7501967999999998,1.062618675,1.3333842999999999,1.5372000000000012
0.2549999999999998,0.3961197395833332,0.750197864583333,1.0626197395833334,1.3333853645833333,1.5414583333333343
0.2539999999999998,0.39612079999999983,0.7501989249999997,1.0626208,1.333386425,1.545700000000001
0.2529999999999998,0.39612185624999985,0.7501999812499998,1.06262185625,1.33338748125,1.549925000000001
0.2519999999999998,0.3961229083333332,0.7502010333333331,1.0626229083333332,1.3333885333333333,1.5541333333333343
0.2509999999999998,0.39612395624999985,0.7502020812499998,1.06262395625,1.33338958125,1.558325000000001
0.24999999999999978,0.39612499999999984,0.7502031249999999,1.062625,1.333390625,1.5625
0.24899999999999978,0.3961260395833332,0.7502041645833332,1.0626260395833333,1.3333916645833335,1.5625010395833332
0.24799999999999978,0.3961270749999999,0.7502051999999998,1.062627075,1.3333927,1.562502075
0.24699999999999978,0.3961281062499999,0.7502062312499997,1.06262810625,1.33339373125,1.5625031062499999
0.24599999999999977,0.3961291333333332,0.7502072583333331,1.0626291333333333,1.3333947583333334,1.5625041333333334
0.24499999999999977,0.39613015624999987,0.7502082812499997,1.06263015625,1.3333957812500001,1.56250515625
0.24399999999999977,0.3961311749999999,0.7502092999999997,1.062631175,1.3333968,1.562506175
0.24299999999999977,0.3961321895833332,0.7502103145833331,1.0626321895833333,1.3333978145833332,1.5625071895833333
0.24199999999999977,0.39613319999999985,0.7502113249999998,1.0626332,1.333398825,1.5625082
0.24099999999999977,0.3961342062499999,0.7502123312499998,1.06263420625,1.33339983125,1.56250920625
0.23999999999999977,0.3961352083333332,0.7502133333333331,1.0626352083333335,1.3334008333333334,1.5625102083333333
0.23899999999999977,0.39613620624999984,0.7502143312499997,1.06263620625,1.33340183125,1.56251120625
0.23799999999999977,0.3961371999999999,0.7502153249999998,1.0626372,1.333402825,1.5625122
