sigma,q,q_water,q_oil
0.3750000000000003,0.032724923474893676,0.717514202291519,0.09744156384163018
0.3760000000000003,0.032724923474893676,0.7190534943213946,0.09600163097517597
0.3770000000000003,0.032724923474893676,0.7205821507773208,0.09456997746304825
0.3780000000000003,0.032724923474893676,0.7221001325464693,0.09314667996639092
0.3790000000000003,0.032724923474893676,0.7236074008301704,0.09173181453059577
0.3800000000000003,0.032724923474893676,0.7251039171439142,0.09032545658530242
0.3810000000000003,0.032724923474893676,0.7265896433173501,0.08892768094439829
0.3820000000000003,0.032724923474893676,0.7280645414942867,0.0875385618060187
0.3830000000000003,0.032724923474893676,0.7295285741326913,0.08615817275254677
0.3840000000000003,0.032724923474893676,0.7309817040046918,0.08478658675061349
0.3850000000000003,0.032724923474893676,0.7324238941965737,0.08342387615109766
0.3860000000000003,0.032724923474893676,0.733855108108783,0.08207011268912591
0.3870000000000003,0.032724923474893676,0.7352753094559245,0.08072536748407276
0.3880000000000003,0.032724923474893676,0.7366844622667621,0.07938971103956054
0.3890000000000003,0.032724923474893676,0.7380825308842196,0.0780632132434594
0.3900000000000003,0.032724923474893676,0.7394694799653793,0.07674594336788738
0.3910000000000003,0.032724923474893676,0.7408452744814833,0.07543797006921031
0.3920000000000003,0.032724923474893676,0.7422098797179326,0.0741393613880419
0.3930000000000003,0.032724923474893676,0.743563261274288,0.07285018474924367
0.3940000000000003,0.032724923474893676,0.7449053850642686,0.07157050696192499
0.3950000000000003,0.032724923474893676,0.7462362173157538,0.07030039421944309
0.3960000000000003,0.032724923474893676,0.7475557245707819,0.069039912099403
0.3970000000000003,0.032724923474893676,0.7488638736855503,0.06778912556365761
0.3980000000000003,0.032724923474893676,0.7501606318304156,0.06654809895830767
0.3990000000000003,0.032724923474893676,0.751445966489894,0.06531689601370172
0.4000000000000003,0.032724923474893676,0.752719845462661,0.06409557984443617
0.4010000000000003,0.032724923474893676,0.7539822368615505,0.06288421294935533
0.4020000000000003,0.032724923474893676,0.7552331091135572,0.06168285721155123
0.4030000000000003,0.032724923474893676,0.7564724309598336,0.060491573898363814
0.4040000000000003,0.032724923474893676,0.7577001714556922,0.059310423661380875
0.4050000000000003,0.032724923474893676,0.7589162999706048,0.05813946653643799
0.4060000000000003,0.032724923474893676,0.7601207861882021,0.05697876194361864
0.4070000000000003,0.032724923474893676,0.7613136001062742,0.0558283686872541
0.4080000000000003,0.032724923474893676,0.7624947120367709,0.05468834495592348
0.4090000000000003,0.032724923474893676,0.7636640926058004,0.053558748322453796
0.4100000000000003,0.032724923474893676,0.7648217127536308,0.052439635743919806
0.4110000000000003,0.032724923474893676,0.7659675437346897,0.0513310635616442
0.4120000000000003,0.032724923474893676,0.767101557117563,0.050233087501197454
0.4130000000000003,0.032724923474893676,0.7682237247849969,0.04914576267239788
0.4140000000000003,0.032724923474893676,0.7693340189338963,0.048069143569311676
0.4150000000000003,0.032724923474893676,0.7704324120753252,0.04700328407025283
0.4160000000000003,0.032724923474893676,0.7715188770345075,0.0459482374377832
0.4170000000000003,0.032724923474893676,0.7725933869508259,0.04490405631871248
0.4180000000000003,0.032724923474893676,0.7736559152778225,0.043870792744098185
0.4190000000000003,0.032724923474893676,0.7747064357831986,0.04284849812924569
0.4200000000000003,0.032724923474893676,0.7757449225488148,0.04183722327370821
0.4210000000000003,0.032724923474893676,0.776771349970691,0.040837018361286774
0.4220000000000003,0.032724923474893676,0.7777856927590064,0.0398479329600303
0.4230000000000003,0.032724923474893676,0.7787879259380992,0.0388700160222355
0.4240000000000003,0.032724923474893676,0.7797780248464672,0.03790331588444693
0.4250000000000003,0.032724923474893676,0.7807559651367675,0.03694788026745702
0.4260000000000003,0.032724923474893676,0.781721722775816,0.036003756276306004
0.4270000000000003,0.032724923474893676,0.7826752740445884,0.03507099040028198
0.4280000000000003,0.032724923474893676,0.7836165955382192,0.03414962851292086
0.4290000000000003,0.032724923474893676,0.7845456641660025,0.03323971587200643
0.4300000000000003,0.032724923474893676,0.7854624571513917,0.032341297119570275
0.4310000000000003,0.032724923474893676,0.7863669520319992,0.03145441628189188
0.43200000000000033,0.032724923474893676,0.7872591266595969,0.03057911676949849
0.43300000000000033,0.032724923474893676,0.7881389592001157,0.029715441377165256
0.43400000000000033,0.032724923474893676,0.7890064281336459,0.028863432283915136
0.43500000000000033,0.032724923474893676,0.7898615122544375,0.028023131053018947
0.43600000000000033,0.032724923474893676,0.7907041906708987,0.02719457863199533
0.43700000000000033,0.032724923474893676,0.7915344428055979,0.026377815352610773
0.43800000000000033,0.032724923474893676,0.7923522483952629,0.02557288093087959
0.43900000000000033,0.032724923474893676,0.7931575874907797,0.02477981446706397
0.44000000000000034,0.032724923474893676,0.7939504404571945,0.02399865444567391
0.44100000000000034,0.032724923474893676,0.7947307879737125,0.023229438735467248
0.44200000000000034,0.032724923474893676,0.7954986110336983,0.02247220458944968
0.44300000000000034,0.032724923474893676,0.7962538909446754,0.021726988644874726
0.44400000000000034,0.032724923474893676,0.7969966093283265,0.02099382692324376
0.44500000000000034,0.032724923474893676,0.7977267481204944,0.02027275483030598
0.44600000000000034,0.032724923474893676,0.7984442895711804,0.019563807156058436
0.44700000000000034,0.032724923474893676,0.7991492162445453,0.01886701807474601
0.44800000000000034,0.032724923474893676,0.799841511018909,0.018182421144861436
0.44900000000000034,0.032724923474893676,0.8005211570867508,0.017510049309145268
0.45000000000000034,0.032724923474893676,0.8011881379547093,0.016849934894585923
0.45100000000000035,0.032724923474893676,0.8018424374435825,0.01620210961241964
0.45200000000000035,0.032724923474893676,0.8024840396883275,0.015566604558130501
0.45300000000000035,0.032724923474893676,0.8031129291380603,0.014943450211450436
0.45400000000000035,0.032724923474893676,0.8037290905560569,0.014332676436359215
0.45500000000000035,0.032724923474893676,0.804332509019752,0.013734312481084431
0.45600000000000035,0.032724923474893676,0.8049231699207399,0.013148386978101537
0.45700000000000035,0.032724923474893676,0.8055010589647739,0.012574927944133814
0.45800000000000035,0.032724923474893676,0.8060661621717669,0.01201396278015239
0.45900000000000035,0.032724923474893676,0.8066184658757906,0.011465518271376226
0.46000000000000035,0.032724923474893676,0.8071579567250762,0.01092962058727213
0.46100000000000035,0.032724923474893676,0.8076846216820145,0.010406295281554742
0.46200000000000035,0.032724923474893676,0.8081984480231549,0.00989556729218655
